cd,zip,city,state,res_ratio,bus_ratio,oth_ratio,tot_ratio
0101,36444,FRANKLIN,AL,0.000967443,0.000188127,0,0.000886373
0101,36507,BAY MINETTE,AL,0.023653142,0.019833911,0.024806554,0.02336783
0101,36521,CHUNCHULA,AL,0.006001508,0.001075009,0.005689577,0.005599286
0101,36532,FAIRHOPE,AL,0.044728036,0.042140342,0.041647701,0.044461355
0101,36527,DAPHNE,AL,0.019060788,0.019135155,0.019116978,0.019067838
0101,36542,GULF SHORES,AL,0.038159986,0.020855169,0.036071916,0.036728288
0101,36538,FRANKVILLE,AL,0.000556940,0.000134376,0,0.000512367
0101,36460,MONROEVILLE,AL,0.013308943,0.018221398,0.014337733,0.013723655
0101,36576,SILVERHILL,AL,0.005891080,0.000752506,0.006144743,0.005482544
0101,36603,MOBILE,AL,0.010778708,0.013786987,0.017865271,0.011155334
0101,36604,MOBILE,AL,0.012862431,0.013786987,0.039940828,0.013451257
0101,36611,MOBILE,AL,0.007350646,0.00612755,0.008989531,0.007283395
0101,36590,THEODORE,AL,0.002571046,0.005267543,0.000227583,0.002743434
0101,36633,MOBILE,AL,0.000941036,0.00550942,0.000227583,0.00129497
0101,36585,WAGARVILLE,AL,0.001039461,0.000295627,0,0.000959878
0101,36512,BUCKS,AL,0.000000000,5.37504E-05,0,4.32377E-06
0101,36426,BREWTON,AL,0.021651039,0.02281706,0.021734183,0.021746415
0101,36425,BEATRICE,AL,0.000945838,0.000241877,0.000341375,0.000877726
0101,36587,WILMER,AL,0.012257479,0.002633771,0.008420574,0.011410436
0101,36618,MOBILE,AL,0.018837532,0.015238249,0.014565316,0.018466833
0101,36564,POINT CLEAR,AL,0.002753492,0.00241877,0.000113792,0.002676415
0101,36439,EXCEL,AL,0.000000000,2.68752E-05,0,2.16189E-06
0101,36675,MOBILE,AL,0.000000000,2.68752E-05,0,2.16189E-06
0101,36753,MC WILLIAMS,AL,0.000000000,2.68752E-05,0,2.16189E-06
0101,36569,SAINT STEPHENS,AL,0.000902627,0.000134376,0,0.000823679
0101,36558,MILLRY,AL,0.004697980,0.001773764,0.001024124,0.004392953
0101,36553,MC INTOSH,AL,0.003012757,0.001209385,0.000910332,0.002827747
0101,36575,SEMMES,AL,0.026260197,0.01658201,0.022644515,0.025412974
0101,36518,CHATOM,AL,0.002009305,0.000645005,0.000682749,0.001874355
0101,36509,BAYOU LA BATRE,AL,0.002465419,0.007229434,0.002162039,0.002842881
0101,36528,DAUPHIN ISLAND,AL,0.003574498,0.001746889,0.002617205,0.003409295
0101,36544,IRVINGTON,AL,0.014917347,0.005536295,0.012858443,0.014123604
0101,36539,FRUITDALE,AL,0.000926633,0.000483754,0.000113792,0.000875564
