,district,margin,dir_margin,party,sample_size,state,conf_vte,conf_cty,conf_ste,conf_ntl
200,200,9.137372049891693,9.137372049891693,REPUBLICAN,166.0,Alaska,3.5300541881123464,3.3998272473949975,3.3243361993469343,2.602736867878314
101,101,28.83111752639976,28.83111752639976,REPUBLICAN,31.0,Alabama,3.8098679200176853,3.473119942905842,3.380897530795802,2.4620247330681724
102,102,30.54000902595456,30.54000902595456,REPUBLICAN,17.0,Alabama,3.563529970427209,3.2113698603360605,3.177508322351379,1.9443512762373774
103,103,35.00220336773897,35.00220336773897,REPUBLICAN,28.0,Alabama,3.6904598075010893,3.5098746262913654,3.5171316609779675,2.1284329094929975
104,104,64.55889242804902,64.55889242804902,REPUBLICAN,29.0,Alabama,3.7642762033939143,3.755550974418725,3.675418624136553,2.15422519813595
105,105,91.62174439733495,91.62174439733495,REPUBLICAN,19.0,Alabama,3.8216868324699607,3.774732053331565,3.6763396207897445,3.332078515331203
106,106,94.2599225539483,94.2599225539483,REPUBLICAN,31.0,Alabama,3.6279556792934677,3.429134221264434,3.3848227946276683,2.6934716920065136
107,107,94.3279200795417,-94.3279200795417,DEMOCRAT,7.0,Alabama,3.402035488578247,3.10882784223642,3.10882784223642,2.502185729891376
501,501,100.0,100.0,REPUBLICAN,49.0,Arkansas,3.544354391632058,3.445787274040007,3.425030668957487,2.6172841523306376
502,502,10.731632496548903,10.731632496548903,REPUBLICAN,46.0,Arkansas,3.586458532407382,3.5324808306700546,3.501827921520868,2.5872026895283198
503,503,32.49995512502169,32.49995512502169,REPUBLICAN,50.0,Arkansas,3.708329946977016,3.6190067942478965,3.4099741700557504,2.337479189525912
504,504,42.1280927881906,42.1280927881906,REPUBLICAN,21.0,Arkansas,3.564023543811255,3.512961325036789,3.3557123542884475,2.3610358466876042
401,401,3.2203473374628264,-3.2203473374628264,DEMOCRAT,122.0,Arizona,3.3727890953339483,3.163203446637312,2.9092037814048,2.6601236715065144
402,402,10.226896975231856,-10.226896975231856,DEMOCRAT,141.0,Arizona,3.3580475254873616,3.233954489706395,3.082833533071169,2.9001402978212822
403,403,29.146855323769532,-29.146855323769532,DEMOCRAT,79.0,Arizona,3.6835977717255197,3.4516198072428956,3.205631585267856,2.96914011103016
404,404,39.5155322196662,39.5155322196662,REPUBLICAN,109.0,Arizona,3.1559420174945383,2.9297343828771254,2.581151527175192,2.1902893757933906
405,405,17.78116354057044,17.78116354057044,REPUBLICAN,72.0,Arizona,3.307462045829187,3.120178700446262,2.99240614529093,2.6543699557381917
406,406,4.34543045849933,4.34543045849933,REPUBLICAN,119.0,Arizona,3.5894285803744395,3.374432769389451,3.2815776078407857,3.0683642138149847
